timestamp,event,category,result,source_file
2026-06-14 09:40:07,Startup: start_qwen_65k_mtp1_20260614_094007.log,startup,RECORDED,evidence/startup_logs/start_qwen_65k_mtp1_20260614_094007.log
2026-06-14 09:43:09,Startup: start_qwen_65k_mtp1_squeeze_20260614_094309.log,startup,RECORDED,evidence/startup_logs/start_qwen_65k_mtp1_squeeze_20260614_094309.log
2026-06-14 09:45:25,Startup: start_qwen_65k_mtp1_ultra_20260614_094525.log,startup,RECORDED,evidence/startup_logs/start_qwen_65k_mtp1_ultra_20260614_094525.log
2026-06-14 09:48:16,Startup: start_qwen_hermes_65k_stable_20260614_094816.log,startup,RECORDED,evidence/startup_logs/start_qwen_hermes_65k_stable_20260614_094816.log
2026-06-14 09:52:52,Startup: start_qwen_hermes_65k_stable_20260614_095252.log,startup,RECORDED,evidence/startup_logs/start_qwen_hermes_65k_stable_20260614_095252.log
2026-06-14 09:54:44,Startup: start_qwen_hermes_65k_stable_20260614_095444.log,startup,RECORDED,evidence/startup_logs/start_qwen_hermes_65k_stable_20260614_095444.log
2026-06-14 09:57:47,Startup: start_qwen_hermes_65k_stable_20260614_095747.log,startup,RECORDED,evidence/startup_logs/start_qwen_hermes_65k_stable_20260614_095747.log
2026-06-14 10:02:00,Startup: start_qwen_65k_mtp1_cpuoffload8_20260614_100200.log,startup,RECORDED,evidence/startup_logs/start_qwen_65k_mtp1_cpuoffload8_20260614_100200.log
2026-06-14 10:07:13,Startup: start_qwen_65k_mtp1_cpuoffload10_stable_20260614_100713.log,startup,RECORDED,evidence/startup_logs/start_qwen_65k_mtp1_cpuoffload10_stable_20260614_100713.log
2026-06-14 10:15:38,Startup: start_qwen_65k_mtp1_cpuoffload8_fast_20260614_101538.log,startup,RECORDED,evidence/startup_logs/start_qwen_65k_mtp1_cpuoffload8_fast_20260614_101538.log
2026-06-14 11:53:36,Startup: start_qwen_hermes_65k_stable_20260614_115336.log,startup,RECORDED,evidence/startup_logs/start_qwen_hermes_65k_stable_20260614_115336.log
2026-06-14 12:04:19,Startup: start_qwen_daily_65k_gpu_fast_20260614_120419.log,startup,RECORDED,evidence/startup_logs/start_qwen_daily_65k_gpu_fast_20260614_120419.log
2026-06-14 12:18:08,Startup: start_qwen_daily_65k_gpu_fast_20260614_121808.log,startup,RECORDED,evidence/startup_logs/start_qwen_daily_65k_gpu_fast_20260614_121808.log
2026-06-14 12:20:15,Startup: start_qwen_daily_65k_gpu_fast_20260614_122015.log,startup,RECORDED,evidence/startup_logs/start_qwen_daily_65k_gpu_fast_20260614_122015.log
2026-06-14 12:28:26,Startup: start_qwen_daily_65k_gpu_fast_20260614_122826.log,startup,RECORDED,evidence/startup_logs/start_qwen_daily_65k_gpu_fast_20260614_122826.log
2026-06-14 13:01:34,Startup: start_qwen_65k_mtp1_cpuoffload8_fast_20260614_130134.log,startup,RECORDED,evidence/startup_logs/start_qwen_65k_mtp1_cpuoffload8_fast_20260614_130134.log
2026-06-17 01:42:16,Benchmark: rtx_daily_bench_20260617_014216.csv,benchmark,RECORDED,evidence/benchmarks/rtx_daily_bench_20260617_014216.csv
2026-06-17 01:42:16,Benchmark: rtx_daily_bench_20260617_014216.md,benchmark,VERIFIED_BASELINE,evidence/benchmarks/rtx_daily_bench_20260617_014216.md
2026-06-17 01:43:09,Benchmark: rtx_daily_bench_20260617_014309.csv,benchmark,RECORDED,evidence/benchmarks/rtx_daily_bench_20260617_014309.csv
2026-06-17 01:43:09,Benchmark: rtx_daily_bench_20260617_014309.md,benchmark,RECORDED,evidence/benchmarks/rtx_daily_bench_20260617_014309.md
2026-06-17 01:50:41,Benchmark: rtx_daily_bench_20260617_015041.csv,benchmark,RECORDED,evidence/benchmarks/rtx_daily_bench_20260617_015041.csv
2026-06-17 01:50:41,Benchmark: rtx_daily_bench_20260617_015041.md,benchmark,RECORDED,evidence/benchmarks/rtx_daily_bench_20260617_015041.md
2026-06-17 01:56:14,Benchmark: rtx_daily_bench_20260617_015614.csv,benchmark,RECORDED,evidence/benchmarks/rtx_daily_bench_20260617_015614.csv
2026-06-17 01:56:14,Benchmark: rtx_daily_bench_20260617_015614.md,benchmark,RECORDED,evidence/benchmarks/rtx_daily_bench_20260617_015614.md
2026-06-19 00:20:03,Governor backup: governor.py.bak.20260619_002003,governor,RECORDED,evidence/home_root/governor/governor.py.bak.20260619_002003
2026-06-19 00:26:12,Governor backup: governor.py.bak.forward_patch.20260619_002612,governor,RECORDED,evidence/home_root/governor/governor.py.bak.forward_patch.20260619_002612
2026-06-19 20:35:05,PASS baseline: qwen_request_governor_PASS_20260619_203505.jsonl,pass_baseline,RECORDED,evidence/home_root/agent55_baselines/qwen_request_governor_PASS_20260619_203505.jsonl
